producer;title;size;price;unit_price;url
Bunny Ninja;Przekąska owocowa o smaku jabłko mango 15g;;;;https://mamyito.pl/produkt/przekaska-owocowa-o-smaku-jablko-mango-bunny-ninja-15g-2
Bunny Ninja;Przekąska owocowa o smaku jabłko-mango 15 g;;;;https://mamyito.pl/produkt/przekaska-owocowa-o-smaku-jablko-mango-bunny-ninja-15g
Bunny Ninja;Przekąska owocowa o smaku jabłko truskawka 15g;;;;https://mamyito.pl/produkt/przekaska-owocowa-o-smaku-jablko-truskawka-bunny-ninja-15g
CEDC INTERNATIONAL SP. Z O.O.;CARLO ROSSI Wino Kalifornijskie różowe półwytrawne 750 ml;;;;https://mamyito.pl/produkt/wino-kalifornijskie-rozowe-polwytrawne-carlo-rossi-750ml
CARLSBERG POLSKA SP. Z O.O.;CARLSBERG Piwo Pilsner butelka 500 ml;;;;https://mamyito.pl/produkt/piwo-pilsner-butelka-carlsberg-500ml
DE CARE GROUP SP. Z O.O. I WSPÓLNICY SP.K.;CASA DE MEXICO Wrap pszenny 20 cm 6szt;;;;https://mamyito.pl/produkt/wrap-pszenny-20-cm-casa-de-mexico-240g
FAKTORIA WIN;CERVILLE Wino Grüner Veltliner białe wytrawne 750 ml;;;;https://mamyito.pl/produkt/wino-gruner-veltliner-biale-wytrawne-cerville-750ml
MARS POLSKA SP. Z O.O.;CHAPPI Karma z wołowiną, drobiem i warzywami dla dorosłych psów 500 g;;;;https://mamyito.pl/produkt/karma-z-wolowina-drobiem-i-warzywami-dla-doroslych-psow-chappi-500g
FRITO LAY POLAND SP. Z O.O.;CHEETOS Chrupki Ketchupowe 85g;;;;https://mamyito.pl/produkt/chrupki-ketchupowe-cheetos-85g
FRITO LAY POLAND SP. Z O.O.;CHEETOS Chrupki kukurydziane o smaku pizzy 85g;;;;https://mamyito.pl/produkt/chrupki-kukurydziane-o-smaku-pizzy-cheetos-85g
FRITO LAY POLAND SP. Z O.O.;CHEETOS Chrupki o smaku paprykowym 130g;;;;https://mamyito.pl/produkt/chrupki-o-smaku-paprykowym-cheetos-130g
FRITO LAY POLAND SP. Z O.O.;CHEETOS Chrupki o smaku sera 130 g;;;;https://mamyito.pl/produkt/chrupki-o-smaku-sera-cheetos-130g
FRITO LAY POLAND SP. Z O.O.;CHEETOS Chrupki o smaku serowo-ketchupowym 130g;;;;https://mamyito.pl/produkt/chrupki-o-smaku-serowo-ketchupowym-cheetos-130g
FRITO LAY POLAND SP. Z O.O.;CHEETOS Chrupki Serowe 85g;;;;https://mamyito.pl/produkt/chrupki-serowe-cheetos-85g
FRITO LAY POLAND SP. Z O.O.;CHEETOS Chrupki Spirale Ser z Ketchupem 80g;;;;https://mamyito.pl/produkt/chrupki-spirale-ser-z-ketchupem-cheetos-80g
UNILEVER POLSKA SP. Z O.O.;CIF MAX POWDER Mleczko z wybielaczem Spring Fresh 1001 g;;;;https://mamyito.pl/produkt/mleczko-z-wybielaczem-spring-fresh-cif-max-powder-1001g
