recipe_id,ingredient_id,amount,unit
129,120,1,g
129,5,1.5,g
129,6,0.5,g
130,65,160,g
130,101,120,g
130,102,150,g
130,29,80,g
130,30,6,g
130,1,2,szt
130,103,25,ml
130,105,10,g
130,124,15,ml
130,5,1,g
130,6,0.5,g
131,76,400,g
131,101,150,g
131,100,300,g
131,102,150,g
131,29,80,g
131,30,6,g
131,99,1200,ml
131,124,10,ml
131,58,5,g
131,5,3,g
131,6,1,g
132,95,200,g
132,91,300,g
132,57,250,g
132,98,200,ml
132,97,30,g
132,29,80,g
132,30,6,g
132,124,10,ml
132,5,2,g
132,6,1,g
133,94,200,g
133,108,400,g
133,117,20,g
133,30,8,g
133,109,1,g
133,124,15,ml
133,120,1,g
133,86,60,g
133,5,2,g
133,6,1,g
133,97,30,g
134,93,500,g
134,1,1,szt
134,29,100,g
134,65,250,g
134,108,800,g
134,120,2,g
134,124,15,ml
134,5,3,g
134,6,1.5,g
135,92,300,g
135,115,180,g
135,101,120,g
135,31,150,g
135,29,80,g
135,30,6,g
135,104,10,g
135,103,30,ml
135,25,10,ml
135,105,10,g
135,5,1,g
135,6,0.5,g
136,114,150,g
136,112,300,g
136,100,250,g
136,45,150,g
136,3,250,g
136,47,60,g
136,124,15,ml
136,19,10,ml
136,5,2,g
136,6,1,g
137,113,300,g
137,78,250,ml
137,65,160,g
137,100,250,g
137,29,80,g
137,30,6,g
137,104,10,g
137,109,0.5,g
137,124,10,ml
137,5,2,g
137,6,1,g
138,110,240,g
138,122,300,g
138,31,250,g
138,29,100,g
138,30,6,g
138,28,500,ml
138,33,2,g
138,120,1,g
138,124,15,ml
138,5,2.5,g
138,6,1,g
139,100,500,g
139,29,100,g
139,30,6,g
139,99,1200,ml
139,98,150,ml
139,124,10,ml
139,5,3,g
139,6,1,g
139,17,4,plastry
139,2,15,g
140,116,600,g
140,76,400,g
140,101,150,g
140,106,250,g
140,29,120,g
140,30,6,g
140,99,1200,ml
140,124,10,ml
140,119,2,g
140,5,3,g
140,6,1.5,g
141,76,800,g
141,106,300,g
141,29,120,g
141,98,250,ml
141,36,150,g
141,124,10,ml
141,33,2,g
141,5,3,g
141,6,1.5,g
142,94,200,g
142,30,10,g
142,124,25,ml
142,109,1,g
142,58,10,g
142,5,2,g
142,6,1,g
142,97,30,g
143,114,150,g
143,51,300,g
143,100,250,g
143,101,120,g
143,29,80,g
143,30,6,g
143,104,10,g
143,103,25,ml
143,25,10,ml
143,105,10,g
143,5,1,g
143,6,0.5,g
144,107,250,g
144,111,600,g
144,78,400,ml
144,65,250,g
144,29,120,g
144,30,6,g
144,104,10,g
144,52,2,g
144,109,0.5,g
144,124,15,ml
144,5,3,g
144,6,1,g
145,95,250,g
145,72,160,g
145,73,150,g
145,45,200,g
145,3,250,g
145,11,150,g
145,19,10,ml
145,58,5,g
145,5,2,g
145,6,1,g
146,122,500,g
146,93,350,g
146,108,400,g
146,29,80,g
146,30,6,g
146,36,80,g
146,120,1,g
146,124,10,ml
146,5,2,g
146,6,1,g
147,91,300,g
147,100,300,g
147,101,120,g
147,30,6,g
147,104,10,g
147,103,30,ml
147,25,10,ml
147,105,10,g
147,65,160,g
147,5,1,g
147,6,0.5,g
148,110,240,g
148,1,1,szt
148,29,80,g
148,30,6,g
148,24,40,g
148,58,10,g
148,25,20,ml
148,5,2,g
148,6,1,g
148,22,150,g
148,44,5,g
148,19,10,ml
149,118,600,g
149,106,300,g
149,108,400,g
149,29,120,g
149,30,6,g
149,119,2,g
149,124,15,ml
149,5,3,g
149,6,1.5,g
150,99,1200,ml
150,108,400,g
150,101,150,g
150,122,250,g
150,29,120,g
150,30,6,g
150,118,300,g
150,96,150,g
150,121,2,g
150,124,10,ml
150,5,3,g
150,6,1.5,g
151,115,180,g
151,112,250,g
151,37,100,g
151,98,200,ml
151,29,80,g
151,30,6,g
151,124,10,ml
151,19,5,ml
151,5,2,g
151,6,1,g
152,61,160,g
152,57,250,g
152,37,100,g
152,29,80,g
152,30,6,g
152,124,10,ml
152,46,60,g
152,5,2,g
152,6,1,g
153,92,300,g
153,77,400,g
153,100,250,g
153,124,15,ml
153,33,2,g
153,119,2,g
153,19,10,ml
153,5,2,g
153,6,1,g
154,34,2,szt
154,91,300,g
154,3,250,g
154,29,80,g
154,30,3,g
154,47,40,g
154,36,80,g
154,19,10,ml
154,109,0.5,g
154,124,10,ml
154,5,2,g
154,6,1,g
155,90,400,g
